Project,Block,Module,Part,Issue,Design Element,Design Factor,评审主体,评审对象,审核项,审核项状态,评审项更新者,Phase,Reviewer,Status,Notes,Quantization Status
P.Wrangler,5.Camera,camera,,,,,1.Mainboard,4.Routing,Camera MCLK需走内层上下左右包地,适用,陈邦,EVB,陈邦,Pass,,1
P.Wrangler,5.Camera,MIPI_CSI,,,,,1.Mainboard,4.Routing,MIPI差分线需要上下左右包地，若空间不足，则上下隔层参考。Clock要做到GND shielding。,适用,陈邦,EVB,陈邦,Pass,,1
P.Wrangler,5.Camera,MIPI_CSI,,,,,1.Mainboard,4.Routing,对与对之间长度差小于1.4mm(56mil)，差分对内D+/D-长度差小于0.7mm(28mil)；走线总长度小于210mm(小于750 Mbps/lane)或小于200mm(小于1.0 Gbps/lane)或145mm(小于1.5 Gbps/lane)或175mm(小于2.1 Gbps/lane)。,适用,陈邦,EVB,陈邦,NG&Accept,EVT再做等长,2
P.Wrangler,5.Camera,MIPI_CSI,,,,,1.Mainboard,4.Routing,保证大部分走在同层，保持等线宽线距，EMI靠近连接器，信号线从芯片扇出之后就要开始走差分，参考地平面不允许被切割以及掏空，不能走在晶振、时钟以及磁性材料上下,适用,陈邦,EVB,陈邦,Pass,,1
P.Wrangler,5.Camera,MIPI_CSI,,,,,1.Mainboard,4.Routing,与CADcheck主板设计中MIPI阻抗控制要求、Camera HW team确认模组阻抗要求（较通用的是90R）。通过pcb工具确认阻抗规则设置满足要求。,适用,陈邦,EVB,陈邦,Pass,,1
P.Wrangler,5.Camera,MIPI_CSI,,,,,1.Mainboard,4.Routing,检查MIPI参考回流GND以及Via是否与功率地耦合,适用,陈邦,EVB,陈邦,Pass,,
P.Wrangler,5.Camera,camera,,,,,15.Camera Module,2.Stacking,"摄像头模组通过导电布/铜箔/导电泡棉良好接地接到金属支架或者主板上。
 ",适用,陈邦,EVB,陈邦,Pass,,1
P.Wrangler,5.Camera,FlashLED FPC,Flash LED FPC,,,,7.FlashLED FPC/PCB,1.SCH,实物顺序匹配 pin顺序与主板or小板匹配,适用,常芳梅,EVB,常芳梅,Pass,,1
P.Wrangler,5.Camera,FlashLED FPC,Flash LED FPC,,,,7.FlashLED FPC/PCB,2.Stacking,LED下方不能有高热电路，如有需要隔离，不能直接架在高热电路上方。推荐FPC直接贴在后壳上。,适用,常芳梅,EVB,常芳梅,NG&Accept,架在stack板上，有thermal 风险,2
P.Wrangler,5.Camera,Flash LED,,,,,7.FlashLED FPC/PCB,4.Routing,Flash LED 在PCB板的散热面积要足够大，如果10层板厚度为1mm的板厚，散热总面积要大于50平方毫米，散热孔要大于30个；如果板层越薄，散热孔和散热面积要越大，最小要在80平方毫米左右，散热孔要大于30个,适用,常芳梅,EVB,常芳梅,Pass,,1
P.Wrangler,5.Camera,FlashLED FPC,Flash LED FPC,,,,7.FlashLED FPC/PCB,4.Routing,Flash LED 出光孔要和结构核对，结构给出的图纸要给出焊盘信息。,适用,常芳梅,EVB,常芳梅,Pass,1414正方向，出光孔在正中,1
P.Wrangler,5.Camera,FlashLED FPC,Flash LED FPC,,,,7.FlashLED FPC/PCB,4.Routing,"Flash LED 在PCB板的散热面积要足够大，如果10层板厚度为0.68mm的板厚，LED灯放置面单层散热面积大于30，散热总面积要大于50平方毫米，散热孔要大于30个,；如果板层越薄，LED灯放置面单层散热面积要越大，铜厚尽量厚，散热孔和散热面积要越大，尽可能加大最小要在80平方毫米左右，散热孔要大于30个。",适用,常芳梅,EVB,常芳梅,Pass,,
P.Wrangler,6.Display/Touch,Display/Touch,,ESD,,,1.Mainboard,1.SCH,"参考标准原理图,RST,ID,CABC接口串1K电阻（ESD)",适用,李果,EVB,常芳梅,Pass,,1
P.Wrangler,6.Display/Touch,Display,MIPI_DSI,,,,1.Mainboard,1.SCH,EMI滤波器带宽大于3倍时钟频率,适用,常芳梅,EVB,常芳梅,NA,,0
P.Wrangler,6.Display/Touch,Touch,,,,,1.Mainboard,1.SCH,每个pin上都需要TVS防护,适用,李果,EVB,常芳梅,NG&Accept,,2
P.Wrangler,6.Display/Touch,Display,,ESD,,,1.Mainboard,2.Stacking,LCD FPC弯折区域靠边侧在壳体缝隙处时，FPC要刷银浆或壳体本身有挡墙。,适用,李果,EVB,常芳梅,Pass,,1
P.Wrangler,6.Display/Touch,Display,,ESD,,,1.Mainboard,2.Stacking,"是否有接地考虑，模组抗ESD检查(四个角落需要特别关注),该点需要拿到模组才能确认",适用,李果,EVB,常芳梅,Pass,,1
P.Wrangler,6.Display/Touch,Display,,,PIN序核对,,1.Mainboard,2.Stacking,检查 PCB net 名称是否和LCD SPEC完全对应上（使用剪纸法确认PIN顺序正确性）,适用,常芳梅,EVB,常芳梅,Pass,,1
P.Wrangler,6.Display/Touch,Display,POWER,,,,1.Mainboard,4.Routing,"OLED ELVSS ,ELVDD ,AVDD 输入电源滤波靠近PMIC摆放，输出电源滤波电容直接到主地。电源反馈信号，需要从输出电容拉到芯片pin，隔层GND屏蔽。 开关信号，需要兼容到1.5A peak电流，不要走太宽，线尽量短。",适用,常芳梅,EVB,常芳梅,Pass,,
P.Wrangler,6.Display/Touch,Display,POWER,,,,1.Mainboard,4.Routing,MID_ELVDD 滤波电源靠近PMIC摆放，滤波电容直接走到主地,适用,常芳梅,EVB,常芳梅,Pass,,
P.Wrangler,6.Display/Touch,Display,MIPI_DSI,,,,1.Mainboard,4.Routing,MIPI DSI 差分线需要上下左右包地，若空间不足，则上下隔层参考。Clock要做到GND shielding。,适用,常芳梅,EVB,常芳梅,Pass,,1
P.Wrangler,6.Display/Touch,Display,MIPI_DSI,,,,1.Mainboard,4.Routing,MIPI DSI 差分对阻抗控制在85 ohm +/- 15 ohm，对内D+/D-间距不小于1W，对与对之间不小于1.5W，与外围其它信号(如GND)之间不小于2.5W。,适用,常芳梅,EVB,常芳梅,Pass,,1
P.Wrangler,6.Display/Touch,Display,MIPI_DSI,,,,1.Mainboard,4.Routing,对与对之间长度差小于1.4mm(56mil)，差分对内D+/D-长度差小于0.7mm(28mil)；走线总长度小于100mm(小于1.0 Gbps/lane)或40mm(小于1.5 Gbps/lane)。,适用,常芳梅,EVB,常芳梅,Pass,,1
P.Wrangler,6.Display/Touch,Display,MIPI_DSI,,,,1.Mainboard,4.Routing,保证大部分走在同层，保持等线宽线距，EMI靠近连接器，信号线从芯片扇出之后就要开始走差分，参考地平面不允许被切割以及掏空，不能走在晶振、时钟以及磁性材料上下,适用,常芳梅,EVB,常芳梅,Pass,,1
P.Wrangler,6.Display/Touch,Display,MIPI_DSI,,,,1.Mainboard,4.Routing,检查MIPI参考回流GND以及Via是否与功率地耦合,适用,常芳梅,EVB,常芳梅,Pass,,
P.Wrangler,6.Display/Touch,Touch,,,,,1.Mainboard,4.Routing,TVS靠近连接器摆放，并置于信号干路上,适用,李果,EVB,常芳梅,Pass,,1
P.Wrangler,6.Display/Touch,Touch,,,,,1.Mainboard,4.Routing,确认 PCB上CTPpin顺序与实物匹配,适用,常芳梅,EVB,常芳梅,Pass,,1
P.Wrangler,6.Display/Touch,Displayport,TX/RX,,,,1.Mainboard,4.Routing,USB_SS TX/RX差分线需要上下左右包地，若空间不足，则上下隔层参考。Clock要做到GND shielding。,适用,常芳梅,EVB,常芳梅,Pass,,
P.Wrangler,6.Display/Touch,Displayport,TX/RX,,,,1.Mainboard,4.Routing,保证大部分走在同层，保持等线宽线距，EMI靠近连接器，信号线从芯片扇出之后就要开始走差分，参考地平面不允许被切割以及掏空，不能走在晶振、时钟以及磁性材料上下,适用,常芳梅,EVB,常芳梅,Pass,,
P.Wrangler,6.Display/Touch,Displayport,TX/RX,,,,1.Mainboard,4.Routing,"USB_SS TX/RX差分对内D+/D-长度差小于0.7mm(28mil)，TX对与RX对之间不小于4W（DP1.4），TX对与RX对之间不小于3W（DP1.2）,与外围其它信号(包括GND)之间不小于4W. USB_SS TX/RX差分对之前长度差小于10mm。
走线尽量少打孔和穿层。",适用,常芳梅,EVB,常芳梅,Pass,,
P.Wrangler,7.Sensor,Cap-Sensor,,,,,1.Mainboard,1.SCH,Cap Sensor 检测线路在RF端的器件需要审核：确保天线检测pad 和 器件输入pin 是有效连通的（不能串接电容，不能对地并电感）。-2017-2-10，Issue Found on George NA EVT2,适用,熊胜男,EVB,熊胜男,Pass,,1
P.Wrangler,7.Sensor,Cap-Sensor,,,,,1.Mainboard,1.SCH,cap sensor各天线弹片数目确认，保证每根天线都有电容隔离+电感下地结构,适用,熊胜男,EVB,熊胜男,Pass,,1
P.Wrangler,7.Sensor,Cap-Sensor,,,,,1.Mainboard,1.SCH,Cap sensor Power supplier和I2C上拉要是同一路电源,适用,熊胜男,EVB,熊胜男,Pass,,1
P.Wrangler,7.Sensor,Cap-Sensor,,,,,1.Mainboard,4.Routing,"CAP sensor在FPC走线层的确认。如果FPC没有涂层接地，并且置于电池上方,并且背盖不含金属，则CAP SENSOR走线必须靠近电池侧以保证有ground隔离背盖",适用,熊胜男,EVB,熊胜男,Pass,,1
P.Wrangler,7.Sensor,G-Sensor,,,,,1.Mainboard,1.SCH,电源的电压范围是否在spec规范中,适用,熊胜男,EVB,熊胜男,Pass,,1
P.Wrangler,7.Sensor,G-Sensor,,,,,1.Mainboard,1.SCH,IIC地址是否冲突,适用,熊胜男,EVB,熊胜男,Pass,,1
P.Wrangler,7.Sensor,G-Sensor,,,,,1.Mainboard,1.SCH,是否可做兼容设计,适用,熊胜男,EVB,熊胜男,Pass,,1
P.Wrangler,7.Sensor,G-Sensor,,,,,1.Mainboard,1.SCH,G-sensor 二供信息检查,适用,熊胜男,EVB,熊胜男,NA,,0
P.Wrangler,7.Sensor,G-Sensor,,,,,1.Mainboard,1.SCH,Andriod 5.0 L 需要12bit以上 G-Sensor,适用,熊胜男,EVB,熊胜男,Pass,,1
P.Wrangler,7.Sensor,Gyro,,,,,1.Mainboard,1.SCH,原理图电源及IIC确认,适用,熊胜男,EVB,熊胜男,Pass,,1
P.Wrangler,7.Sensor,Hall,,,,,1.Mainboard,1.SCH,新器件需要审核原理图的正确性,适用,熊胜男,EVB,熊胜男,NA,,0
P.Wrangler,7.Sensor,M-Sensor,,,,,1.Mainboard,4.Routing,M-sensor部分不能穿过高频线、大电流的线，如充电线，电源线等,适用,熊胜男,EVB,熊胜男,Pass,,1
P.Wrangler,7.Sensor,M-Sensor,,,,,1.Mainboard,1.SCH,新器件需要审核原理图的正确性,适用,熊胜男,EVB,熊胜男,NA,,0
P.Wrangler,7.Sensor,指纹,,,,,1.Mainboard,1.SCH,电源选择和信号连接正确，并请coretech确认,适用,熊胜男,EVB,熊胜男,Pass,,1
P.Wrangler,7.Sensor,Cap-Sensor,,,,,1.Mainboard,2.Stacking,"Cap Sensor 尽量靠近感应Pad放置 -2017-2-15 ,Issue Found on George NA EVT2",适用,熊胜男,EVB,熊胜男,Pass,,1
P.Wrangler,7.Sensor,Pressure-Sensor,,,,,1.Mainboard,6.Others(ME/RF/ANT/KP/Factory),对于防水的机器，需要开气孔给气压计，开孔需要加上防水透气膜，开孔直径大于 1 mm，开孔位置尽量靠近sensor。,适用,熊胜男,EVT,熊胜男,NA,,0
P.Wrangler,7.Sensor,G-Sensor,,,,,1.Mainboard,2.Stacking,"摆放位置及PCB检查,离同面或背面的产生应力的连接器 屏蔽盖和屏蔽轨迹 按键 螺丝孔等至少2MM",适用,熊胜男,EVB,熊胜男,NG&Accept,,2
P.Wrangler,7.Sensor,Gyro,,,,,1.Mainboard,2.Stacking,放置完毕后需要发给原厂Review,适用,熊胜男,EVB,熊胜男,NA,,0
P.Wrangler,7.Sensor,Hall,,,,,1.Mainboard,2.Stacking,"确定磁铁的型号以及磁铁到Hall IC的距离；
 用高斯计测量该磁铁在该距离下，Hall IC工作的可靠性",适用,熊胜男,EVB,熊胜男,NA,,0
P.Wrangler,7.Sensor,M-Sensor,,,,,1.Mainboard,2.Stacking,"M SENOSR远离带磁铁的CAMERA，比如TELE,WIDE,DEPTH,MAIN CAMERA.注意camera磁场分布",适用,熊胜男,EVB,熊胜男,Pass,,1
P.Wrangler,7.Sensor,M-Sensor,,,,,1.Mainboard,2.Stacking,堆叠的时候，需要让专家确认M-sensor的放置位置；需要远离磁场源；放置完毕后，让厂家协助帮忙仿真。,适用,熊胜男,EVB,熊胜男,Pass,,1
P.Wrangler,7.Sensor,M-Sensor,,,,,1.Mainboard,2.Stacking,如果机器带皮套，需要考虑皮套上的磁铁对M-sensor的影响。需要评估M-sensor与Hall IC错开足够距离或者加磁阻片等方式,适用,熊胜男,EVB,熊胜男,NA,,0
P.Wrangler,7.Sensor,M-Sensor,,,,,1.Mainboard,2.Stacking,靠近M-sensor的钢板如果是不锈钢，必须使用H304微磁型号,适用,熊胜男,EVB,熊胜男,Pass,,1
P.Wrangler,7.Sensor,M-Sensor,,,,,1.Mainboard,2.Stacking,靠近M-sensor的屏蔽盖，尽量使用洋白铜，不锈钢需要使用H304微磁型号。,适用,熊胜男,EVB,熊胜男,Pass,,1
P.Wrangler,7.Sensor,P&L,,,,,1.Mainboard,2.Stacking,P Senshor IR灯和ME IR开孔对齐(核对PIN1),适用,熊胜男,EVB,熊胜男,Pass,,1
P.Wrangler,7.Sensor,P&L,,,,,1.Mainboard,2.Stacking,"触摸屏开窗设计
 1.红外和可见光透过率;
 2.开窗宽度>2mm，丝印开窗尺寸是否标准化
 3.CTP开窗处只留玻璃，不能有FPC或Film干涉
 4.白色P-sensor区域油墨过渡处理",适用,熊胜男,EVB,熊胜男,Pass,,1
P.Wrangler,7.Sensor,P&L,,,,,1.Mainboard,4.Routing,P-sensor摆件方向（接收孔和指示灯要错开）,适用,熊胜男,EVB,熊胜男,NG&Accept,,2
P.Wrangler,7.Sensor,P&L,,,,,1.Mainboard,2.Stacking,P sensor布局优先考虑手机的右边(SPK出音孔对应的手机上方位置)，这样手握不容易遮挡,适用,熊胜男,EVB,熊胜男,NG&Accept,,2
P.Wrangler,7.Sensor,P&L,,,,,1.Mainboard,2.Stacking,P-sensor周围背胶宽度>0.7mm,适用,熊胜男,EVB,熊胜男,NA,,0
P.Wrangler,7.Sensor,P&L,,,,,1.Mainboard,2.Stacking,P-sensor固定方式，有卡扣设计、螺钉及后壳加筋固定,适用,熊胜男,EVB,熊胜男,Pass,,1
P.Wrangler,7.Sensor,P&L,,,,,1.Mainboard,2.Stacking,光学仿真入射角能否>30度,适用,熊胜男,EVB,熊胜男,Pass,,1
P.Wrangler,7.Sensor,P&L,,,,,1.Mainboard,2.Stacking,是否存在干涉,适用,熊胜男,EVB,熊胜男,Pass,,1
P.Wrangler,7.Sensor,P&L,,,,,1.Mainboard,2.Stacking,P-sensor IR LED 靠手机X轴中心方向摆放，并且IR LED 到手机X中心距离小于13mm,适用,熊胜男,EVB,熊胜男,NG&Accept,,2
P.Wrangler,7.Sensor,P&L,,,,,1.Mainboard,2.Stacking,P-sensor &ALS  如果有FPC设计，需确认FPC和主板Pin定义匹配,适用,熊胜男,EVB,熊胜男,NA,,0
P.Wrangler,6.Display/Touch,Display port,TX/RX,,,,1.Mainboard,4.Routing,检查TX/RX参考回流GND以及Via是否与功率地耦合,适用,常芳梅,EVB,常芳梅,Pass,,1
P.Wrangler,6.Display/Touch,Displayport,Aux,,,,1.Mainboard,4.Routing,DP_AUX_P/N差分对内线长度差小于7mm,适用,常芳梅,EVB,常芳梅,Pass,,
P.Wrangler,7.Sensor,Gyro,,,,,1.Mainboard,3.Placement,Sensor远离板机械应力，与PCB连接筋大于15MM   ,适用,熊胜男,EVB,熊胜男,NG&Accept,,2
P.Wrangler,7.Sensor,Gyro,,,,,1.Mainboard,3.Placement,离同面或背面的产生应力的连接器 屏蔽盖和屏蔽轨迹 按键 螺丝孔等至少2MM,适用,熊胜男,EVB,熊胜男,NG&Accept,,2
P.Wrangler,7.Sensor,Gyro,,,,,1.Mainboard,3.Placement,"远离振动源比如马达，风扇等,机械振动可能造成屏幕旋转等误动作",适用,熊胜男,EVB,熊胜男,Pass,,1
P.Wrangler,7.Sensor,Gyro,,,,,1.Mainboard,4.Routing,sensorIC表层覆盖区域尽量不能有其他走线 不打孔 不铺铜，出线尽量对称。,适用,熊胜男,EVB,熊胜男,NG&Accept,,2
P.Wrangler,7.Sensor,Pressure-Sensor,,,,,1.Mainboard,3.Placement,远离振动源比如马达，风扇等,适用,熊胜男,EVB,熊胜男,NA,,0
P.Wrangler,7.Sensor,Pressure-Sensor,,,,,1.Mainboard,3.Placement,远离温度变化大的器件，比如充电回路和CPU PMIC,适用,熊胜男,EVB,熊胜男,NA,,0
P.Wrangler,7.Sensor,Pressure-Sensor,,,,,1.Mainboard,3.Placement,远离热源，应力（按键、螺丝孔、PCB边沿），振源,适用,熊胜男,EVB,熊胜男,NA,,0
P.Wrangler,7.Sensor,Pressure-Sensor,,,,,1.Mainboard,3.Placement,远离温度变化大的器件，比如充电回路和CPU PMIC,适用,熊胜男,EVB,熊胜男,NA,,0
P.Wrangler,7.Sensor,Pressure-Sensor,,,,,1.Mainboard,4.Routing,考虑应力影响，sensor应该避开按键、螺丝孔等会给PCB板带来型变的位置；Sensor不能部分或全部被覆盖,适用,熊胜男,EVB,熊胜男,NA,,0
P.Wrangler,7.Sensor,Pressure-Sensor,,,,,1.Mainboard,4.Routing,考虑温度影响，sensor不应靠近发热点和温度快速变化的点。远离发光器件，避免光直射到气压计的孔内。,适用,熊胜男,EVB,熊胜男,NA,,0
P.Wrangler,7.Sensor,Pressure-Sensor,,,,,1.Mainboard,4.Routing,sensorIC表层覆盖区域尽量不能有其他走线 不打孔 不铺铜，出线尽量对称。,适用,熊胜男,EVB,熊胜男,NA,,0
P.Wrangler,7.Sensor,Cap-Sensor,,,,,1.Mainboard,4.Routing,Cap Sensor 感应线需要3W包地，上下左右不能有变化信号的走线伴行。-2017-2-10，Issue Found on George NA EVT2,适用,熊胜男,EVB,熊胜男,Pass,,1
P.Wrangler,7.Sensor,Cap-Sensor,,,,,1.Mainboard,4.Routing,Cap Sensor的DET弹片要尽量远离WIFI 等各种发射天线，避免WIFI对Capsensor的干扰 -2017-5-3，issue found on George NA DVT2B,适用,熊胜男,EVB,熊胜男,Pass,,1
P.Wrangler,7.Sensor,Cap-Sensor,,,,,1.Mainboard,4.Routing,为避免芯片内部的ground干扰，在layout时，IC下面不要有大电流，强干扰信号，表层和第二层大面积接地保证GND干净；IC下方的地和临近层的地平面完整,适用,熊胜男,EVB,熊胜男,Pass,,1
P.Wrangler,7.Sensor,Cap-Sensor,,,,,1.Mainboard,4.Routing,走线包地，上下天线走线较长，或经历复杂温度场景，可增加使用ref channel,适用,熊胜男,EVB,熊胜男,Pass,,1
P.Wrangler,7.Sensor,Cap-Sensor,,,,,1.Mainboard,1.SCH,ANT的DC BLOCK电容相同值最好用同一颗，以保证电容温升趋势一致，有利于温升调试,适用,熊胜男,EVT,熊胜男,Pass,,1
P.Wrangler,7.Sensor,指纹,,,,,1.Mainboard,4.Routing,部件和主板实物顺序匹配，必须找ME核对装配方式,适用,熊胜男,EVB,熊胜男,Pass,,1
P.Wrangler,7.Sensor,指纹ESD,,,,,2.Sub-Board,4.Routing,ESD：信号需要预留TVS，并置于干路上,适用,李果,EVB,韩凯,Pass,,1
P.Wrangler,8.PCB,DFX,Shielding,,,,1.Mainboard,2.Stacking,屏蔽盖大小建议35mmx35mm以内，超过此尺寸需要和SMT一起评估SMT不良率，并接受部分点可能虚焊。建议尽量不超过40mm。,适用,陈银川,EVB,苏艳红,Pass,,1
P.Wrangler,8.PCB,Stress,Placement,,,,1.Mainboard,2.Stacking,屏蔽盖之间缝隙的背面不能放置WLCSP器件,适用,陈银川,EVB,苏艳红,Pass,,1
P.Wrangler,8.PCB,DFX,Shielding,,,,1.Mainboard,3.Placement,器件与屏蔽盖间距：器件距离屏蔽盖内侧---≥0.2mm；器件距离屏蔽盖外侧---≥0.2mm,适用,陈银川,EVB,苏艳红,Pass,,1
P.Wrangler,8.PCB,DFX,Shielding,,,,1.Mainboard,4.Routing,屏蔽盖焊盘设计： <宽度0.57mm ,适用,陈银川,EVB,苏艳红,Pass,,1
P.Wrangler,8.PCB,DFX,Shielding,,,,1.Mainboard,4.Routing,屏蔽盖距离板边0.2mm，距离不足时，需要SMT评估钢网扩口空间是否能接受。,适用,陈银川,EVB,苏艳红,Pass,,1
P.Wrangler,8.PCB,DFX,Shielding,,,,1.Mainboard,4.Routing,其他露铜（绿油开窗）距离屏蔽盖焊接≥0.4mm,适用,陈银川,EVB,苏艳红,Pass,,1
P.Wrangler,8.PCB,DFX,PCB Springs,,,,1.Mainboard,4.Routing,弹片焊盘上必须打孔增加附着力，含小板,适用,陈银川,EVB,苏艳红,Pass,,1
P.Wrangler,8.PCB,Stress,,,,,1.Mainboard,4.Routing,大焊盘底下第二层尽量不走线：1. 屏蔽盖轨迹的外 拐角位置，各方向 5mm  2.SIM卡座GND定位焊盘 的第二层尽量不走线。实在无法规避，就加宽线路宽度，期望值0.2mm以上.,适用,陈文亭,EVB,陈文亭,NG&DCR,EVT 修改,3
P.Wrangler,8.PCB,DFX,Glue,,,,14.Glue,6.Others(ME/RF/ANT/KP/Factory),导热硅胶尽量避让点胶边缘0.1mm（如无法避让需要要求产线擦掉溢到IC表面的胶）。,适用,陈银川,EVB,林峰,Pass,,1
P.Wrangler,8.PCB,DFX,Placement,,,,2.Sub-Board,2.Stacking,破板器件位于同面。,适用,苏艳红,EVB,韩凯,Pass,,1
P.Wrangler,8.PCB,Panel ,,DFX,,,2.Sub-Board,5.Panel,Panel不能有与Audio Jack  或者 USB-C等 连接器本体及其保护套干涉的风险,适用,苏艳红,EVB,德太加,Pass,,1
P.Wrangler,8.PCB,DFX,PCB Panel,,,,2.Sub-Board,5.Panel,"拼版：连接筋避让连接器区域
      连接筋避让侧键FPC区域",适用,苏艳红,EVB,德太加,Pass,,1
P.Wrangler,9.Memory,Memory,,,认证确认,,1.Mainboard,1.SCH,Memory型号MTK/Qualcomm认证确认是否为平台厂Qualified,适用,董嘉琨,EVB,董嘉琨,NG&Accept,,2
P.Wrangler,9.Memory,Memory,,,选型-二供确认,,1.Mainboard,1.SCH,Memory 二供信息检查,适用,董嘉琨,EVB,董嘉琨,Pass,,1
P.Wrangler,9.Memory,Memory,,,选型,,1.Mainboard,1.SCH,Memory的DDR频率以及EMMC的协议版本，平台是否支持。,适用,董嘉琨,EVB,董嘉琨,Pass,,1
P.Wrangler,9.Memory,Memory,,,,DDR,1.Mainboard,1.SCH,Memory电压选取及旁路电容follow参考设计需求，兼容二供 。,适用,董嘉琨,EVB,董嘉琨,Pass,,1
P.Wrangler,9.Memory,Memory,,,,DDR,1.Mainboard,1.SCH,信号连接顺序是否正确。,适用,董嘉琨,EVB,董嘉琨,Pass,,1
P.Wrangler,9.Memory,Memory,,,,EMMC,1.Mainboard,1.SCH,eMMC电源电容选择follow参考设计,适用,董嘉琨,EVB,董嘉琨,NA,,0
P.Wrangler,9.Memory,Memory,,,,EMMC,1.Mainboard,1.SCH,clk串联电阻靠近cpu，rclk串联电阻靠近emmc,适用,董嘉琨,EVB,董嘉琨,NA,,0
P.Wrangler,9.Memory,Memory,,,,UFS,1.Mainboard,1.SCH,"UFS电源电容选择follow参考设计
按最大容量cover电流",适用,董嘉琨,EVB,董嘉琨,Pass,,1
P.Wrangler,9.Memory,SD,,,,SD,1.Mainboard,1.SCH,"SD card power:
SD卡供电要求达到400mA RMS 以及 800mA Peak",适用,董嘉琨,EVB,董嘉琨,NA,,0
P.Wrangler,9.Memory,SD,,,,SD,1.Mainboard,1.SCH,"SD card power:
SD供电电源滤波电容一大（2.2~4.7uF）一小（33pf~100pf）参考平台设计",适用,董嘉琨,EVB,董嘉琨,NA,,0
P.Wrangler,9.Memory,SD,,,,SD,1.Mainboard,1.SCH,"SD卡检测：
热插拔设计，VDD并联0402-10uF以及0201-0.1uF电容; 非热插拔设计，VDD并联0402-4.7uF以及0201-0.1uF.
SD无卡托直接插拔的设计，需要在SD_CARD_DET_N信号上放置一个100K~1M的上拉电阻",适用,董嘉琨,EVB,董嘉琨,NA,,0
P.Wrangler,9.Memory,SD,,,,SD,1.Mainboard,1.SCH,"SD卡检测：
确定SD卡座检测机制，检测脚的初始状态及插入后电平状态",适用,董嘉琨,EVB,董嘉琨,NA,,0
P.Wrangler,9.Memory,SD,,,,SD,1.Mainboard,1.SCH,串联一个27R~35R的电阻在SD CLK信号靠近AP端，预留一个0R电阻串到SD CLK信号靠近卡座端。follow平台推荐,适用,董嘉琨,EVB,董嘉琨,NA,,0
P.Wrangler,9.Memory,SD,,,,SD,1.Mainboard,1.SCH,CMD需要上拉电阻（阻值参考平台设计），如果走线总长度大于50mm则其它信号线在卡座端预留上拉电阻（推荐51k，10K~100K范围）调试,适用,董嘉琨,EVB,董嘉琨,NA,,0
P.Wrangler,9.Memory,SD,,,,SD,1.Mainboard,1.SCH,"SD card capacitive load：
for DDR50 and SDR50，<10pf
for SDR104, <5pf",适用,董嘉琨,EVB,董嘉琨,NA,,0
P.Wrangler,9.Memory,SD,,,,SD,1.Mainboard,1.SCH,Data/CMD Lane允许添加磁珠但不推荐，磁珠需要使用Highspeed专用类，200MHz及以下的阻抗要低于33R，推荐使用11R。,适用,董嘉琨,EVB,董嘉琨,NA,,0
P.Wrangler,9.Memory,Memory,,,扩展兼容检查,,1.Mainboard,2.Stacking,"Memory的是否有可发展性，兼容设计（升级使用）
1 是否可以兼容高容量
2 不同容量的IC高度是否可以兼容，符合屏蔽盖高度限制要求。",适用,董嘉琨,EVB,董嘉琨,Pass,,1
P.Wrangler,9.Memory,Memory,,,,DDR,1.Mainboard,2.Stacking,>=2133MHz，DDR需要和CPU正对，减少线长。,适用,董嘉琨,EVB,董嘉琨,Pass,,1
P.Wrangler,9.Memory,SD,,,,SD,1.Mainboard,2.Stacking,确定SD卡堆叠位置尽量保证走线最短，<50mm,适用,董嘉琨,EVB,董嘉琨,NA,,0
P.Wrangler,9.Memory,Memory,,,,DDR,1.Mainboard,4.Routing,MTK 平台MMD导入审核：,适用,董嘉琨,EVB,董嘉琨,NA,,0
P.Wrangler,9.Memory,Memory,,,,DDR,1.Mainboard,4.Routing,Power Plan面积（VDDQ，VDD）足够大，需要覆盖IC本体及相应power的电容（正极）。尽量Follow参考设计，根据仿真结果微调。,废止,董嘉琨,EVB,董嘉琨,NA,,0
P.Wrangler,9.Memory,Memory,,,,DDR,1.Mainboard,4.Routing,MEMORY所有的PWR和GND引脚要通过via连到电源或者地平面 ，不要有孤立的地,适用,董嘉琨,EVB,董嘉琨,Pass,,1
P.Wrangler,9.Memory,Memory,,红墨水实验,,DDR,1.Mainboard,4.Routing,建议layout有空间的情况下，对四个角落的空pin pad做打盲孔设计，增加焊盘附着力。尤其对不点胶的eMCP，推荐。,适用,董嘉琨,EVB,董嘉琨,NG&Accept,,2
P.Wrangler,9.Memory,Memory,,,,LPDDR4x ,1.Mainboard,4.Routing,"阻抗控制follow平台要求：
单端SE Z0： DQ/DMI    CA/CS/CKE
差分Diff Z0：CK/DQS",适用,董嘉琨,EVB,董嘉琨,Pass,,1
P.Wrangler,9.Memory,Memory,,,,LPDDR4x,1.Mainboard,4.Routing,"Bus length follow 平台要求：
DQ/DMI
CA/CS/CK/DQSI",适用,董嘉琨,EVB,董嘉琨,Pass,,1
P.Wrangler,9.Memory,Memory,,,,LPDDR4x,1.Mainboard,4.Routing,"Bus length matching follow平台要求：
Intrapair DQS_t/c, CLK_t/c < 0.5mm(3ps)",适用,董嘉琨,EVB,董嘉琨,Pass,,1
